   0.214558445E-05   0.214558445E-05  -0.165920888E-06   0.994468381E-06   0.135546560E-04   0.197876149E-04   0.116228242E-04  -0.311656099E-05  -0.123434618E-04  -0.106889624E-04
  -0.118214449E-06  -0.118214449E-06  -0.708107632E-05  -0.422809607E-05   0.201351401E-04   0.452729474E-04   0.292576745E-04  -0.895483902E-06  -0.205273967E-04  -0.186407977E-04
   0.189150900E-05   0.189150900E-05  -0.914881719E-06   0.442326410E-06   0.142669571E-04   0.224780935E-04   0.135087781E-04  -0.284595627E-05  -0.131942774E-04  -0.115313161E-04
   0.163781098E-05   0.163781098E-05  -0.166676020E-05  -0.113678255E-06   0.149826175E-04   0.251780118E-04   0.153978753E-04  -0.258188131E-05  -0.140548766E-04  -0.123803552E-04
   0.138462510E-05   0.138462510E-05  -0.242270034E-05  -0.675452001E-06   0.157024713E-04   0.279011652E-04   0.172982543E-04  -0.232418106E-05  -0.149280271E-04  -0.132380612E-04
   0.113209378E-05   0.113209378E-05  -0.318374345E-05  -0.124469560E-05   0.164272991E-04   0.306605467E-04   0.192175951E-04  -0.207269433E-05  -0.158164007E-04  -0.141064204E-04
   0.880316328E-06   0.880316328E-06  -0.395056833E-05  -0.182251145E-05   0.171575640E-04   0.334658508E-04   0.211616228E-04  -0.182712136E-05  -0.167217386E-04  -0.149867750E-04
   0.629359986E-06   0.629359986E-06  -0.472357433E-05  -0.240954620E-05   0.178934825E-04   0.363244783E-04   0.231346689E-04  -0.158706138E-05  -0.176450868E-04  -0.158799795E-04
   0.379269646E-06   0.379269646E-06  -0.550296948E-05  -0.300612793E-05   0.186351077E-04   0.392422536E-04   0.251400733E-04  -0.135207403E-05  -0.185870285E-04  -0.167865610E-04
   0.130073143E-06   0.130073143E-06  -0.628881756E-05  -0.361234280E-05   0.193823749E-04   0.422238232E-04   0.271804137E-04  -0.112170087E-05  -0.195478021E-04  -0.177068003E-04
  -0.403249582E-05  -0.403249582E-05  -0.206678416E-04  -0.152377998E-04   0.329638785E-04   0.105607738E-03   0.685062621E-04   0.245809429E-05  -0.387142149E-04  -0.355416614E-04
  -0.369312436E-06  -0.369312436E-06  -0.789171960E-05  -0.486265848E-05   0.209046842E-04   0.484403049E-04   0.314055751E-04  -0.669648864E-06  -0.215408188E-04  -0.196029201E-04
  -0.619470587E-06  -0.619470587E-06  -0.870866042E-05  -0.550647039E-05   0.216794604E-04   0.516830446E-04   0.335942233E-04  -0.447196269E-06  -0.225730942E-04  -0.205790441E-04
  -0.868697054E-06  -0.868697054E-06  -0.953167373E-05  -0.615911646E-05   0.224592243E-04   0.550033028E-04   0.358244209E-04  -0.227714623E-06  -0.236237843E-04  -0.215689532E-04
  -0.111700446E-05  -0.111700446E-05  -0.103605078E-04  -0.682013327E-05   0.232437325E-04   0.584028177E-04   0.380966663E-04  -0.108284403E-07  -0.246923848E-04  -0.225723761E-04
  -0.136440887E-05  -0.136440887E-05  -0.111948958E-04  -0.748903015E-05   0.240327530E-04   0.618829762E-04   0.404111838E-04   0.203795662E-06  -0.257783494E-04  -0.235890021E-04
  -0.161092895E-05  -0.161092895E-05  -0.120345644E-04  -0.816530624E-05   0.248260707E-04   0.654448516E-04   0.427679488E-04   0.416444065E-06  -0.268811096E-04  -0.246184936E-04
  -0.185658534E-05  -0.185658534E-05  -0.128792417E-04  -0.884846472E-05   0.256234921E-04   0.690892297E-04   0.451667059E-04   0.627351804E-06  -0.280000901E-04  -0.256604957E-04
  -0.210140013E-05  -0.210140013E-05  -0.137286625E-04  -0.953802435E-05   0.264248470E-04   0.728166283E-04   0.476069833E-04   0.836699088E-06  -0.291347208E-04  -0.267146437E-04
  -0.234539645E-05  -0.234539645E-05  -0.145825730E-04  -0.102335288E-04   0.272299884E-04   0.766273110E-04   0.500881059E-04   0.104460886E-05  -0.302844469E-04  -0.277805690E-04
  -0.258859818E-05  -0.258859818E-05  -0.154407341E-04  -0.109345535E-04   0.280387922E-04   0.805212992E-04   0.526092075E-04   0.125114560E-05  -0.314487356E-04  -0.288579036E-04
  -0.283102967E-05  -0.283102967E-05  -0.163029236E-04  -0.116407113E-04   0.288511549E-04   0.844983817E-04   0.551692437E-04   0.145631545E-05  -0.326270817E-04  -0.299462834E-04
  -0.307271554E-05  -0.307271554E-05  -0.171689380E-04  -0.123516549E-04   0.296669916E-04   0.885581245E-04   0.577670055E-04   0.166006775E-05  -0.338190107E-04  -0.310453509E-04
  -0.331368051E-05  -0.331368051E-05  -0.180385931E-04  -0.130670790E-04   0.304862333E-04   0.926998800E-04   0.604011347E-04   0.186229797E-05  -0.350240811E-04  -0.321547570E-04
  -0.355394924E-05  -0.355394924E-05  -0.189117234E-04  -0.137867201E-04   0.313088239E-04   0.969227964E-04   0.630701404E-04   0.206285174E-05  -0.362418841E-04  -0.332741620E-04
  -0.379354623E-05  -0.379354623E-05  -0.197881826E-04  -0.145103553E-04   0.321347181E-04   0.101225829E-03   0.657724183E-04   0.226153009E-05  -0.374720440E-04  -0.344032367E-04
  -0.789096591E-05  -0.789096591E-05  -0.355390858E-04  -0.276973361E-04   0.470548680E-04   0.187098224E-03   0.116453091E-03   0.511650540E-05  -0.606662253E-04  -0.553796224E-04
  -0.427761210E-05  -0.427761210E-05  -0.215758166E-04  -0.159898152E-04   0.338200694E-04   0.110195484E-03   0.713491694E-04   0.265777587E-05  -0.400040239E-04  -0.367219964E-04
  -0.452209432E-05  -0.452209432E-05  -0.224869514E-04  -0.167455757E-04   0.346796529E-04   0.114863472E-03   0.742215996E-04   0.285461183E-05  -0.413058903E-04  -0.379115732E-04
  -0.476596741E-05  -0.476596741E-05  -0.234011547E-04  -0.175049853E-04   0.355426023E-04   0.119609816E-03   0.771215294E-04   0.304825914E-05  -0.426195261E-04  -0.391100805E-04
  -0.500925578E-05  -0.500925578E-05  -0.243183476E-04  -0.182679746E-04   0.364088925E-04   0.124432454E-03   0.800469156E-04   0.323835981E-05  -0.439446653E-04  -0.403172171E-04
  -0.525198318E-05  -0.525198318E-05  -0.252384618E-04  -0.190344963E-04   0.372784986E-04   0.129329156E-03   0.829957228E-04   0.342454861E-05  -0.452810615E-04  -0.415326922E-04
  -0.549417264E-05  -0.549417264E-05  -0.261614382E-04  -0.198045211E-04   0.381513954E-04   0.134297534E-03   0.859659434E-04   0.360645893E-05  -0.466284849E-04  -0.427562253E-04
  -0.573584646E-05  -0.573584646E-05  -0.270872245E-04  -0.205780340E-04   0.390275567E-04   0.139335027E-03   0.889556155E-04   0.378372804E-05  -0.479867195E-04  -0.439875456E-04
  -0.597702616E-05  -0.597702616E-05  -0.280157743E-04  -0.213550303E-04   0.399069550E-04   0.144438947E-03   0.919628392E-04   0.395600143E-05  -0.493555608E-04  -0.452263913E-04
  -0.621773240E-05  -0.621773240E-05  -0.289470457E-04  -0.221355129E-04   0.407895613E-04   0.149606429E-03   0.949857899E-04   0.412293628E-05  -0.507348139E-04  -0.464725099E-04
  -0.645798499E-05  -0.645798499E-05  -0.298809997E-04  -0.229194896E-04   0.416753449E-04   0.154834938E-03   0.980227290E-04   0.428420406E-05  -0.521242919E-04  -0.477256576E-04
  -0.669780286E-05  -0.669780286E-05  -0.308175996E-04  -0.237069712E-04   0.425642735E-04   0.160121359E-03   0.101072012E-03   0.443949233E-05  -0.535238147E-04  -0.489855995E-04
  -0.693720397E-05  -0.693720397E-05  -0.317568105E-04  -0.244979693E-04   0.434563134E-04   0.165466799E-03   0.104132094E-03   0.458850575E-05  -0.549332086E-04  -0.502521095E-04
  -0.717620534E-05  -0.717620534E-05  -0.326985981E-04  -0.252924955E-04   0.443514294E-04   0.170860816E-03   0.107201532E-03   0.473096640E-05  -0.563523056E-04  -0.515249701E-04
  -0.741482300E-05  -0.741482300E-05  -0.336429288E-04  -0.260905601E-04   0.452495853E-04   0.176283789E-03   0.110278986E-03   0.486661355E-05  -0.577809436E-04  -0.528039734E-04
  -0.765307192E-05  -0.765307192E-05  -0.345897692E-04  -0.268921716E-04   0.461507439E-04   0.181706561E-03   0.113363218E-03   0.499520272E-05  -0.592189663E-04  -0.540889201E-04
  -0.923244264E-05  -0.923244264E-05  -0.409619582E-04  -0.323256414E-04   0.522307738E-04   0.217627130E-03   0.134017147E-03   0.565617745E-05  -0.690327813E-04  -0.627918856E-04
  -0.811525632E-05  -0.811525632E-05  -0.364376119E-04  -0.284607852E-04   0.479111703E-04   0.192159197E-03   0.119374577E-03   0.522415197E-05  -0.620409790E-04  -0.566033381E-04
