 0.750000000E+02 -0.349919634E+04 0.000000000E+00
 0.126800000E+03 -0.349770235E+04 0.000000000E+00
 0.807565752E+02 -0.349906822E+04 0.000000000E+00
 0.865129319E+02 -0.349893062E+04 0.000000000E+00
 0.922690544E+02 -0.349878356E+04 0.000000000E+00
 0.980249272E+02 -0.349862703E+04 0.000000000E+00
 0.103780535E+03 -0.349846103E+04 0.000000000E+00
 0.109535861E+03 -0.349828557E+04 0.000000000E+00
 0.115290891E+03 -0.349810063E+04 0.000000000E+00
 0.121045610E+03 -0.349790623E+04 0.000000000E+00
 0.220200000E+03 -0.349306627E+04 0.000000000E+00
 0.132640844E+03 -0.349748573E+04 0.000000000E+00
 0.138481319E+03 -0.349725934E+04 0.000000000E+00
 0.144321407E+03 -0.349702321E+04 0.000000000E+00
 0.150161092E+03 -0.349677732E+04 0.000000000E+00
 0.156000359E+03 -0.349652168E+04 0.000000000E+00
 0.161839191E+03 -0.349625629E+04 0.000000000E+00
 0.167677572E+03 -0.349598115E+04 0.000000000E+00
 0.173515484E+03 -0.349569626E+04 0.000000000E+00
 0.179352913E+03 -0.349540163E+04 0.000000000E+00
 0.185189842E+03 -0.349509724E+04 0.000000000E+00
 0.191026255E+03 -0.349478311E+04 0.000000000E+00
 0.196862134E+03 -0.349445923E+04 0.000000000E+00
 0.202697465E+03 -0.349412560E+04 0.000000000E+00
 0.208532230E+03 -0.349378224E+04 0.000000000E+00
 0.214366414E+03 -0.349342912E+04 0.000000000E+00
 0.316100000E+03 -0.348569660E+04 0.000000000E+00
 0.226199374E+03 -0.349268290E+04 0.000000000E+00
 0.232198081E+03 -0.349228923E+04 0.000000000E+00
 0.238196103E+03 -0.349188525E+04 0.000000000E+00
 0.244193422E+03 -0.349147098E+04 0.000000000E+00
 0.250190020E+03 -0.349104640E+04 0.000000000E+00
 0.256185881E+03 -0.349061152E+04 0.000000000E+00
 0.262180985E+03 -0.349016635E+04 0.000000000E+00
 0.268175317E+03 -0.348971088E+04 0.000000000E+00
 0.274168857E+03 -0.348924511E+04 0.000000000E+00
 0.280161588E+03 -0.348876905E+04 0.000000000E+00
 0.286153493E+03 -0.348828270E+04 0.000000000E+00
 0.292144553E+03 -0.348778605E+04 0.000000000E+00
 0.298134752E+03 -0.348727912E+04 0.000000000E+00
 0.304124071E+03 -0.348676190E+04 0.000000000E+00
 0.310112493E+03 -0.348623439E+04 0.000000000E+00
 0.350000000E+03 -0.348245603E+04 0.000000000E+00
 0.321752165E+03 -0.348517941E+04 0.000000000E+00
 0.327403484E+03 -0.348465306E+04 0.000000000E+00
 0.333053941E+03 -0.348411755E+04 0.000000000E+00
 0.338703523E+03 -0.348357287E+04 0.000000000E+00
 0.344352214E+03 -0.348301903E+04 0.000000000E+00
 0.000000000E+00 -0.349919634E+04 0.750000000E+02
 0.000000000E+00 -0.349770235E+04 0.126800000E+03
 0.000000000E+00 -0.349906822E+04 0.807565752E+02
 0.000000000E+00 -0.349893062E+04 0.865129319E+02
 0.000000000E+00 -0.349878356E+04 0.922690544E+02
 0.000000000E+00 -0.349862703E+04 0.980249272E+02
 0.000000000E+00 -0.349846103E+04 0.103780535E+03
 0.000000000E+00 -0.349828557E+04 0.109535861E+03
 0.000000000E+00 -0.349810063E+04 0.115290891E+03
 0.000000000E+00 -0.349790623E+04 0.121045610E+03
 0.749885771E+02 -0.349919634E+04 0.130893048E+01
 0.749543120E+02 -0.349919634E+04 0.261746225E+01
 0.748972151E+02 -0.349919634E+04 0.392519673E+01
