  -0.573870002E-05  -0.338645069E-05  -0.573870002E-05  -0.106889624E-04  -0.123434618E-04  -0.311656099E-05   0.116228242E-04
  -0.757926038E-05  -0.209601123E-05  -0.757926038E-05  -0.186407977E-04  -0.205273967E-04  -0.895483902E-06   0.292576745E-04
  -0.593298459E-05  -0.324683097E-05  -0.593298459E-05  -0.115313161E-04  -0.131942774E-04  -0.284595627E-05   0.135087781E-04
  -0.612910533E-05  -0.310686356E-05  -0.612910533E-05  -0.123803552E-04  -0.140548766E-04  -0.258188131E-05   0.153978753E-04
  -0.632736772E-05  -0.296610103E-05  -0.632736772E-05  -0.132380612E-04  -0.149280271E-04  -0.232418106E-05   0.172982543E-04
  -0.652818278E-05  -0.282423922E-05  -0.652818278E-05  -0.141064204E-04  -0.158164007E-04  -0.207269433E-05   0.192175951E-04
  -0.673186270E-05  -0.268111805E-05  -0.673186270E-05  -0.149867750E-04  -0.167217386E-04  -0.182712136E-05   0.211616228E-04
  -0.693864271E-05  -0.253668492E-05  -0.693864271E-05  -0.158799795E-04  -0.176450868E-04  -0.158706138E-05   0.231346689E-04
  -0.714870854E-05  -0.239096303E-05  -0.714870854E-05  -0.167865610E-04  -0.185870285E-04  -0.135207403E-05   0.251400733E-04
  -0.736220787E-05  -0.224403169E-05  -0.736220787E-05  -0.177068003E-04  -0.195478021E-04  -0.112170087E-05   0.271804137E-04
  -0.116349948E-04   0.328922418E-06  -0.116349948E-04  -0.355416614E-04  -0.387142149E-04   0.245809429E-05   0.685062621E-04
  -0.780332014E-05  -0.194479584E-05  -0.780332014E-05  -0.196029201E-04  -0.215408188E-04  -0.669648864E-06   0.314055751E-04
  -0.803122294E-05  -0.179278566E-05  -0.803122294E-05  -0.205790441E-04  -0.225730942E-04  -0.447196269E-06   0.335942233E-04
  -0.826303360E-05  -0.164016551E-05  -0.826303360E-05  -0.215689532E-04  -0.236237843E-04  -0.227714623E-06   0.358244209E-04
  -0.849880200E-05  -0.148712395E-05  -0.849880200E-05  -0.225723761E-04  -0.246923848E-04  -0.108284402E-07   0.380966663E-04
  -0.873856331E-05  -0.133384666E-05  -0.873856331E-05  -0.235890021E-04  -0.257783494E-04   0.203795662E-06   0.404111838E-04
  -0.898233822E-05  -0.118051134E-05  -0.898233822E-05  -0.246184936E-04  -0.268811096E-04   0.416444065E-06   0.427679488E-04
  -0.923013289E-05  -0.102728335E-05  -0.923013289E-05  -0.256604957E-04  -0.280000901E-04   0.627351804E-06   0.451667059E-04
  -0.948193877E-05  -0.874312242E-06  -0.948193877E-05  -0.267146437E-04  -0.291347208E-04   0.836699088E-06   0.476069833E-04
  -0.973773252E-05  -0.721729072E-06  -0.973773252E-05  -0.277805690E-04  -0.302844469E-04   0.104460886E-05   0.500881059E-04
  -0.999747601E-05  -0.569644476E-06  -0.999747601E-05  -0.288579036E-04  -0.314487356E-04   0.125114560E-05   0.526092075E-04
